pair_id,template_id,history_context,candidate_reply,coherence_label,source,split
COH001,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH002,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH003,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH004,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH005,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH006,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH007,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH008,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH009,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH010,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH011,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH012,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH013,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH014,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH015,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH016,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH017,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH018,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH019,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH020,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH021,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH022,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH023,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH024,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH025,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH026,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH027,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH028,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH029,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH030,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH031,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH032,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH033,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH034,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH035,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH036,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH037,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH038,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH039,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH040,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH041,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH042,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH043,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH044,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH045,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH046,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH047,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH048,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH049,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH050,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH051,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH052,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH053,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH054,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH055,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH056,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH057,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH058,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH059,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH060,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH061,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH062,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH063,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH064,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH065,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH066,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH067,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH068,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH069,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH070,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH071,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH072,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH073,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH074,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH075,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH076,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH077,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH078,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH079,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH080,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH081,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH082,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH083,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH084,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH085,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH086,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH087,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH088,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH089,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH090,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH091,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH092,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH093,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH094,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH095,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH096,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH097,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH098,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH099,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
