pair_id,template_id,history_context,candidate_reply,coherence_label,source,split
COH100,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH101,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH102,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH103,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH104,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH105,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH106,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH107,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH108,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH109,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH110,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH111,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH112,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH113,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH114,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH115,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH116,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH117,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH118,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH119,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH120,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH121,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH122,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH123,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH124,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH125,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH126,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH127,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH128,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH129,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH130,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH131,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH132,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH133,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH134,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH135,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH136,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH137,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH138,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH139,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH140,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH141,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH142,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH143,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH144,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH145,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH146,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH147,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH148,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH149,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH150,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH151,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH152,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH153,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH154,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH155,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH156,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH157,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH158,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH159,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH160,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH161,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH162,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH163,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH164,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH165,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH166,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH167,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH168,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH169,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH170,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH171,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH172,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH173,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH174,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH175,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH176,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH177,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH178,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH179,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH180,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH181,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH182,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH183,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
COH184,coh_neg_t3,第1回合：公寓楼道发生异常；第2回合：目击者的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应公寓楼道和目击者的线索。,0,synthetic,
COH185,coh_pos_t4,第1回合：商场监控室有初步异常；第2回合：桌面上未喝完的咖啡杯与前文线索相互印证,你继续围绕商场监控室展开调查，并发现车库刹车痕方向异常，这一推进与先前信息保持一致。,1,synthetic,
COH186,coh_neg_t4,第1回合：商场监控室发生异常；第2回合：受害者家属的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应商场监控室和受害者家属的线索。,0,synthetic,
COH187,coh_pos_t5,第1回合：医院走廊有初步异常；第2回合：窗台上的纤维碎屑与前文线索相互印证,你继续围绕医院走廊展开调查，并发现门锁无撬痕但门把有摩擦，这一推进与先前信息保持一致。,1,synthetic,
COH188,coh_neg_t5,第1回合：医院走廊发生异常；第2回合：出租车司机的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应医院走廊和出租车司机的线索。,0,synthetic,
COH189,coh_pos_t6,第1回合：河边码头有初步异常；第2回合：嫌疑人衣袖上的灰尘与前文线索相互印证,你继续围绕河边码头展开调查，并发现监控在关键时间段突然中断，这一推进与先前信息保持一致。,1,synthetic,
COH190,coh_neg_t6,第1回合：河边码头发生异常；第2回合：报案人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应河边码头和报案人的线索。,0,synthetic,
COH191,coh_pos_t7,第1回合：居民楼顶层有初步异常；第2回合：门锁边缘的刮痕与前文线索相互印证,你继续围绕居民楼顶层展开调查，并发现手机恢复出陌生号码的通话，这一推进与先前信息保持一致。,1,synthetic,
COH192,coh_neg_t7,第1回合：居民楼顶层发生异常；第2回合：失踪者的同事的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应居民楼顶层和失踪者的同事的线索。,0,synthetic,
COH193,coh_pos_t0,第1回合：案发现场有初步异常；第2回合：走廊里的脚印与前文线索相互印证,你继续围绕案发现场展开调查，并发现鞋印大小与嫌疑人一致，这一推进与先前信息保持一致。,1,synthetic,
COH194,coh_neg_t0,第1回合：案发现场发生异常；第2回合：楼下保安的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应案发现场和楼下保安的线索。,0,synthetic,
COH195,coh_pos_t1,第1回合：地下停车场有初步异常；第2回合：手机最后一次通话记录与前文线索相互印证,你继续围绕地下停车场展开调查，并发现转账记录与口供时间冲突，这一推进与先前信息保持一致。,1,synthetic,
COH196,coh_neg_t1,第1回合：地下停车场发生异常；第2回合：便利店店员的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应地下停车场和便利店店员的线索。,0,synthetic,
COH197,coh_pos_t2,第1回合：旧仓库有初步异常；第2回合：监控画面中的反光衣角与前文线索相互印证,你继续围绕旧仓库展开调查，并发现走廊地面留下新鲜泥渍，这一推进与先前信息保持一致。,1,synthetic,
COH198,coh_neg_t2,第1回合：旧仓库发生异常；第2回合：嫌疑人的说法仍有疑点,剧情突然跳到与案件无关的校园活动，完全没有回应旧仓库和嫌疑人的线索。,0,synthetic,
COH199,coh_pos_t3,第1回合：公寓楼道有初步异常；第2回合：地面残留的泥点与前文线索相互印证,你继续围绕公寓楼道展开调查，并发现窗台纤维与雨衣材质相同，这一推进与先前信息保持一致。,1,synthetic,
