sample_id,template_id,user_input,intent_label,source,split
INT001,investigate_t0,检查案发现场的门锁边缘的刮痕，看看是否有可疑痕迹,investigate,synthetic,
INT002,investigate_t1,调取地下停车场附近的走廊里的脚印并核对时间线,investigate,synthetic,
INT003,investigate_t2,查看车牌记录上的手机最后一次通话记录是否与前后证词一致,investigate,synthetic,
INT004,investigate_t3,勘察公寓楼道，重点关注监控画面中的反光衣角,investigate,synthetic,
INT005,investigate_t4,搜查商场监控室内的行车记录仪，寻找地面残留的泥点,investigate,synthetic,
INT006,investigate_t0,检查医院走廊的桌面上未喝完的咖啡杯，看看是否有可疑痕迹,investigate,synthetic,
INT007,investigate_t1,调取河边码头附近的窗台上的纤维碎屑并核对时间线,investigate,synthetic,
INT008,investigate_t2,查看手提袋上的嫌疑人衣袖上的灰尘是否与前后证词一致,investigate,synthetic,
INT009,investigate_t3,勘察案发现场，重点关注门锁边缘的刮痕,investigate,synthetic,
INT010,investigate_t4,搜查地下停车场内的钥匙串，寻找走廊里的脚印,investigate,synthetic,
INT011,investigate_t0,检查旧仓库的手机最后一次通话记录，看看是否有可疑痕迹,investigate,synthetic,
INT012,investigate_t1,调取公寓楼道附近的监控画面中的反光衣角并核对时间线,investigate,synthetic,
INT013,investigate_t2,查看行车记录仪上的地面残留的泥点是否与前后证词一致,investigate,synthetic,
INT014,investigate_t3,勘察医院走廊，重点关注桌面上未喝完的咖啡杯,investigate,synthetic,
INT015,investigate_t4,搜查河边码头内的药盒，寻找窗台上的纤维碎屑,investigate,synthetic,
INT016,investigate_t0,检查居民楼顶层的嫌疑人衣袖上的灰尘，看看是否有可疑痕迹,investigate,synthetic,
INT017,investigate_t1,调取案发现场附近的门锁边缘的刮痕并核对时间线,investigate,synthetic,
INT018,investigate_t2,查看钥匙串上的走廊里的脚印是否与前后证词一致,investigate,synthetic,
INT019,investigate_t3,勘察旧仓库，重点关注手机最后一次通话记录,investigate,synthetic,
INT020,investigate_t4,搜查公寓楼道内的通话清单，寻找监控画面中的反光衣角,investigate,synthetic,
INT021,investigate_t0,检查商场监控室的地面残留的泥点，看看是否有可疑痕迹,investigate,synthetic,
INT022,investigate_t1,调取医院走廊附近的桌面上未喝完的咖啡杯并核对时间线,investigate,synthetic,
INT023,investigate_t2,查看药盒上的窗台上的纤维碎屑是否与前后证词一致,investigate,synthetic,
INT024,investigate_t3,勘察居民楼顶层，重点关注嫌疑人衣袖上的灰尘,investigate,synthetic,
INT025,investigate_t4,搜查案发现场内的手机，寻找门锁边缘的刮痕,investigate,synthetic,
INT026,investigate_t0,检查地下停车场的走廊里的脚印，看看是否有可疑痕迹,investigate,synthetic,
INT027,investigate_t1,调取旧仓库附近的手机最后一次通话记录并核对时间线,investigate,synthetic,
INT028,investigate_t2,查看通话清单上的监控画面中的反光衣角是否与前后证词一致,investigate,synthetic,
INT029,investigate_t3,勘察商场监控室，重点关注地面残留的泥点,investigate,synthetic,
INT030,investigate_t4,搜查医院走廊内的纸质笔录，寻找桌面上未喝完的咖啡杯,investigate,synthetic,
INT031,investigate_t0,检查河边码头的窗台上的纤维碎屑，看看是否有可疑痕迹,investigate,synthetic,
INT032,investigate_t1,调取居民楼顶层附近的嫌疑人衣袖上的灰尘并核对时间线,investigate,synthetic,
INT033,investigate_t2,查看手机上的门锁边缘的刮痕是否与前后证词一致,investigate,synthetic,
INT034,investigate_t3,勘察地下停车场，重点关注走廊里的脚印,investigate,synthetic,
INT035,investigate_t4,搜查旧仓库内的车牌记录，寻找手机最后一次通话记录,investigate,synthetic,
INT036,investigate_t0,检查公寓楼道的监控画面中的反光衣角，看看是否有可疑痕迹,investigate,synthetic,
INT037,investigate_t1,调取商场监控室附近的地面残留的泥点并核对时间线,investigate,synthetic,
INT038,investigate_t2,查看纸质笔录上的桌面上未喝完的咖啡杯是否与前后证词一致,investigate,synthetic,
INT039,investigate_t3,勘察河边码头，重点关注窗台上的纤维碎屑,investigate,synthetic,
INT040,investigate_t4,搜查居民楼顶层内的手提袋，寻找嫌疑人衣袖上的灰尘,investigate,synthetic,
INT041,investigate_t0,检查案发现场的门锁边缘的刮痕，看看是否有可疑痕迹,investigate,synthetic,
INT042,investigate_t1,调取地下停车场附近的走廊里的脚印并核对时间线,investigate,synthetic,
INT043,investigate_t2,查看车牌记录上的手机最后一次通话记录是否与前后证词一致,investigate,synthetic,
INT044,investigate_t3,勘察公寓楼道，重点关注监控画面中的反光衣角,investigate,synthetic,
INT045,investigate_t4,搜查商场监控室内的行车记录仪，寻找地面残留的泥点,investigate,synthetic,
INT046,investigate_t0,检查医院走廊的桌面上未喝完的咖啡杯，看看是否有可疑痕迹,investigate,synthetic,
INT047,investigate_t1,调取河边码头附近的窗台上的纤维碎屑并核对时间线,investigate,synthetic,
INT048,investigate_t2,查看手提袋上的嫌疑人衣袖上的灰尘是否与前后证词一致,investigate,synthetic,
INT049,investigate_t3,勘察案发现场，重点关注门锁边缘的刮痕,investigate,synthetic,
INT050,investigate_t4,搜查地下停车场内的钥匙串，寻找走廊里的脚印,investigate,synthetic,
INT051,investigate_t0,检查旧仓库的手机最后一次通话记录，看看是否有可疑痕迹,investigate,synthetic,
INT052,investigate_t1,调取公寓楼道附近的监控画面中的反光衣角并核对时间线,investigate,synthetic,
INT053,investigate_t2,查看行车记录仪上的地面残留的泥点是否与前后证词一致,investigate,synthetic,
INT054,investigate_t3,勘察医院走廊，重点关注桌面上未喝完的咖啡杯,investigate,synthetic,
INT055,investigate_t4,搜查河边码头内的药盒，寻找窗台上的纤维碎屑,investigate,synthetic,
INT056,investigate_t0,检查居民楼顶层的嫌疑人衣袖上的灰尘，看看是否有可疑痕迹,investigate,synthetic,
INT057,investigate_t1,调取案发现场附近的门锁边缘的刮痕并核对时间线,investigate,synthetic,
INT058,investigate_t2,查看钥匙串上的走廊里的脚印是否与前后证词一致,investigate,synthetic,
INT059,investigate_t3,勘察旧仓库，重点关注手机最后一次通话记录,investigate,synthetic,
INT060,investigate_t4,搜查公寓楼道内的通话清单，寻找监控画面中的反光衣角,investigate,synthetic,
INT061,investigate_t0,检查商场监控室的地面残留的泥点，看看是否有可疑痕迹,investigate,synthetic,
INT062,investigate_t1,调取医院走廊附近的桌面上未喝完的咖啡杯并核对时间线,investigate,synthetic,
INT063,investigate_t2,查看药盒上的窗台上的纤维碎屑是否与前后证词一致,investigate,synthetic,
INT064,investigate_t3,勘察居民楼顶层，重点关注嫌疑人衣袖上的灰尘,investigate,synthetic,
INT065,investigate_t4,搜查案发现场内的手机，寻找门锁边缘的刮痕,investigate,synthetic,
INT066,investigate_t0,检查地下停车场的走廊里的脚印，看看是否有可疑痕迹,investigate,synthetic,
INT067,investigate_t1,调取旧仓库附近的手机最后一次通话记录并核对时间线,investigate,synthetic,
INT068,investigate_t2,查看通话清单上的监控画面中的反光衣角是否与前后证词一致,investigate,synthetic,
INT069,investigate_t3,勘察商场监控室，重点关注地面残留的泥点,investigate,synthetic,
INT070,investigate_t4,搜查医院走廊内的纸质笔录，寻找桌面上未喝完的咖啡杯,investigate,synthetic,
INT071,investigate_t0,检查河边码头的窗台上的纤维碎屑，看看是否有可疑痕迹,investigate,synthetic,
INT072,investigate_t1,调取居民楼顶层附近的嫌疑人衣袖上的灰尘并核对时间线,investigate,synthetic,
INT073,investigate_t2,查看手机上的门锁边缘的刮痕是否与前后证词一致,investigate,synthetic,
INT074,investigate_t3,勘察地下停车场，重点关注走廊里的脚印,investigate,synthetic,
INT075,investigate_t4,搜查旧仓库内的车牌记录，寻找手机最后一次通话记录,investigate,synthetic,
INT076,investigate_t0,检查公寓楼道的监控画面中的反光衣角，看看是否有可疑痕迹,investigate,synthetic,
INT077,investigate_t1,调取商场监控室附近的地面残留的泥点并核对时间线,investigate,synthetic,
INT078,investigate_t2,查看纸质笔录上的桌面上未喝完的咖啡杯是否与前后证词一致,investigate,synthetic,
INT079,investigate_t3,勘察河边码头，重点关注窗台上的纤维碎屑,investigate,synthetic,
INT080,investigate_t4,搜查居民楼顶层内的手提袋，寻找嫌疑人衣袖上的灰尘,investigate,synthetic,
INT081,investigate_t0,检查案发现场的门锁边缘的刮痕，看看是否有可疑痕迹,investigate,synthetic,
INT082,investigate_t1,调取地下停车场附近的走廊里的脚印并核对时间线,investigate,synthetic,
INT083,investigate_t2,查看车牌记录上的手机最后一次通话记录是否与前后证词一致,investigate,synthetic,
INT084,investigate_t3,勘察公寓楼道，重点关注监控画面中的反光衣角,investigate,synthetic,
INT085,investigate_t4,搜查商场监控室内的行车记录仪，寻找地面残留的泥点,investigate,synthetic,
INT086,investigate_t0,检查医院走廊的桌面上未喝完的咖啡杯，看看是否有可疑痕迹,investigate,synthetic,
INT087,investigate_t1,调取河边码头附近的窗台上的纤维碎屑并核对时间线,investigate,synthetic,
INT088,investigate_t2,查看手提袋上的嫌疑人衣袖上的灰尘是否与前后证词一致,investigate,synthetic,
INT089,investigate_t3,勘察案发现场，重点关注门锁边缘的刮痕,investigate,synthetic,
INT090,investigate_t4,搜查地下停车场内的钥匙串，寻找走廊里的脚印,investigate,synthetic,
INT091,investigate_t0,检查旧仓库的手机最后一次通话记录，看看是否有可疑痕迹,investigate,synthetic,
INT092,investigate_t1,调取公寓楼道附近的监控画面中的反光衣角并核对时间线,investigate,synthetic,
INT093,investigate_t2,查看行车记录仪上的地面残留的泥点是否与前后证词一致,investigate,synthetic,
INT094,investigate_t3,勘察医院走廊，重点关注桌面上未喝完的咖啡杯,investigate,synthetic,
INT095,investigate_t4,搜查河边码头内的药盒，寻找窗台上的纤维碎屑,investigate,synthetic,
INT096,investigate_t0,检查居民楼顶层的嫌疑人衣袖上的灰尘，看看是否有可疑痕迹,investigate,synthetic,
INT097,investigate_t1,调取案发现场附近的门锁边缘的刮痕并核对时间线,investigate,synthetic,
INT098,investigate_t2,查看钥匙串上的走廊里的脚印是否与前后证词一致,investigate,synthetic,
INT099,investigate_t3,勘察旧仓库，重点关注手机最后一次通话记录,investigate,synthetic,
INT100,investigate_t4,搜查公寓楼道内的通话清单，寻找监控画面中的反光衣角,investigate,synthetic,
INT101,investigate_t0,检查商场监控室的地面残留的泥点，看看是否有可疑痕迹,investigate,synthetic,
INT102,investigate_t1,调取医院走廊附近的桌面上未喝完的咖啡杯并核对时间线,investigate,synthetic,
INT103,investigate_t2,查看药盒上的窗台上的纤维碎屑是否与前后证词一致,investigate,synthetic,
INT104,investigate_t3,勘察居民楼顶层，重点关注嫌疑人衣袖上的灰尘,investigate,synthetic,
INT105,investigate_t4,搜查案发现场内的手机，寻找门锁边缘的刮痕,investigate,synthetic,
INT106,investigate_t0,检查地下停车场的走廊里的脚印，看看是否有可疑痕迹,investigate,synthetic,
INT107,investigate_t1,调取旧仓库附近的手机最后一次通话记录并核对时间线,investigate,synthetic,
INT108,investigate_t2,查看通话清单上的监控画面中的反光衣角是否与前后证词一致,investigate,synthetic,
INT109,investigate_t3,勘察商场监控室，重点关注地面残留的泥点,investigate,synthetic,
INT110,investigate_t4,搜查医院走廊内的纸质笔录，寻找桌面上未喝完的咖啡杯,investigate,synthetic,
INT111,investigate_t0,检查河边码头的窗台上的纤维碎屑，看看是否有可疑痕迹,investigate,synthetic,
INT112,investigate_t1,调取居民楼顶层附近的嫌疑人衣袖上的灰尘并核对时间线,investigate,synthetic,
INT113,investigate_t2,查看手机上的门锁边缘的刮痕是否与前后证词一致,investigate,synthetic,
INT114,investigate_t3,勘察地下停车场，重点关注走廊里的脚印,investigate,synthetic,
INT115,investigate_t4,搜查旧仓库内的车牌记录，寻找手机最后一次通话记录,investigate,synthetic,
INT116,investigate_t0,检查公寓楼道的监控画面中的反光衣角，看看是否有可疑痕迹,investigate,synthetic,
INT117,investigate_t1,调取商场监控室附近的地面残留的泥点并核对时间线,investigate,synthetic,
INT118,investigate_t2,查看纸质笔录上的桌面上未喝完的咖啡杯是否与前后证词一致,investigate,synthetic,
INT119,investigate_t3,勘察河边码头，重点关注窗台上的纤维碎屑,investigate,synthetic,
INT120,investigate_t4,搜查居民楼顶层内的手提袋，寻找嫌疑人衣袖上的灰尘,investigate,synthetic,
INT121,investigate_t0,检查案发现场的门锁边缘的刮痕，看看是否有可疑痕迹,investigate,synthetic,
INT122,investigate_t1,调取地下停车场附近的走廊里的脚印并核对时间线,investigate,synthetic,
INT123,investigate_t2,查看车牌记录上的手机最后一次通话记录是否与前后证词一致,investigate,synthetic,
INT124,investigate_t3,勘察公寓楼道，重点关注监控画面中的反光衣角,investigate,synthetic,
INT125,investigate_t4,搜查商场监控室内的行车记录仪，寻找地面残留的泥点,investigate,synthetic,
INT126,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT127,interrogate_t1,为什么你前后两次说法不一致，请解释监控画面中的反光衣角,interrogate,synthetic,
INT128,interrogate_t2,你和受害者家属是什么关系，是否隐瞒了地面残留的泥点,interrogate,synthetic,
INT129,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是桌面上未喝完的咖啡杯,interrogate,synthetic,
INT130,interrogate_t4,你是否知道手提袋的去向，请直接回答,interrogate,synthetic,
INT131,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT132,interrogate_t1,为什么你前后两次说法不一致，请解释门锁边缘的刮痕,interrogate,synthetic,
INT133,interrogate_t2,你和便利店店员是什么关系，是否隐瞒了走廊里的脚印,interrogate,synthetic,
INT134,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是手机最后一次通话记录,interrogate,synthetic,
INT135,interrogate_t4,你是否知道行车记录仪的去向，请直接回答,interrogate,synthetic,
INT136,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT137,interrogate_t1,为什么你前后两次说法不一致，请解释桌面上未喝完的咖啡杯,interrogate,synthetic,
INT138,interrogate_t2,你和报案人是什么关系，是否隐瞒了窗台上的纤维碎屑,interrogate,synthetic,
INT139,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是嫌疑人衣袖上的灰尘,interrogate,synthetic,
INT140,interrogate_t4,你是否知道钥匙串的去向，请直接回答,interrogate,synthetic,
INT141,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT142,interrogate_t1,为什么你前后两次说法不一致，请解释手机最后一次通话记录,interrogate,synthetic,
INT143,interrogate_t2,你和目击者是什么关系，是否隐瞒了监控画面中的反光衣角,interrogate,synthetic,
INT144,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是地面残留的泥点,interrogate,synthetic,
INT145,interrogate_t4,你是否知道药盒的去向，请直接回答,interrogate,synthetic,
INT146,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT147,interrogate_t1,为什么你前后两次说法不一致，请解释嫌疑人衣袖上的灰尘,interrogate,synthetic,
INT148,interrogate_t2,你和楼下保安是什么关系，是否隐瞒了门锁边缘的刮痕,interrogate,synthetic,
INT149,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是走廊里的脚印,interrogate,synthetic,
INT150,interrogate_t4,你是否知道通话清单的去向，请直接回答,interrogate,synthetic,
INT151,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT152,interrogate_t1,为什么你前后两次说法不一致，请解释地面残留的泥点,interrogate,synthetic,
INT153,interrogate_t2,你和出租车司机是什么关系，是否隐瞒了桌面上未喝完的咖啡杯,interrogate,synthetic,
INT154,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是窗台上的纤维碎屑,interrogate,synthetic,
INT155,interrogate_t4,你是否知道手机的去向，请直接回答,interrogate,synthetic,
INT156,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT157,interrogate_t1,为什么你前后两次说法不一致，请解释走廊里的脚印,interrogate,synthetic,
INT158,interrogate_t2,你和嫌疑人是什么关系，是否隐瞒了手机最后一次通话记录,interrogate,synthetic,
INT159,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是监控画面中的反光衣角,interrogate,synthetic,
INT160,interrogate_t4,你是否知道纸质笔录的去向，请直接回答,interrogate,synthetic,
INT161,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT162,interrogate_t1,为什么你前后两次说法不一致，请解释窗台上的纤维碎屑,interrogate,synthetic,
INT163,interrogate_t2,你和失踪者的同事是什么关系，是否隐瞒了嫌疑人衣袖上的灰尘,interrogate,synthetic,
INT164,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是门锁边缘的刮痕,interrogate,synthetic,
INT165,interrogate_t4,你是否知道车牌记录的去向，请直接回答,interrogate,synthetic,
INT166,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT167,interrogate_t1,为什么你前后两次说法不一致，请解释监控画面中的反光衣角,interrogate,synthetic,
INT168,interrogate_t2,你和受害者家属是什么关系，是否隐瞒了地面残留的泥点,interrogate,synthetic,
INT169,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是桌面上未喝完的咖啡杯,interrogate,synthetic,
INT170,interrogate_t4,你是否知道手提袋的去向，请直接回答,interrogate,synthetic,
INT171,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT172,interrogate_t1,为什么你前后两次说法不一致，请解释门锁边缘的刮痕,interrogate,synthetic,
INT173,interrogate_t2,你和便利店店员是什么关系，是否隐瞒了走廊里的脚印,interrogate,synthetic,
INT174,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是手机最后一次通话记录,interrogate,synthetic,
INT175,interrogate_t4,你是否知道行车记录仪的去向，请直接回答,interrogate,synthetic,
INT176,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT177,interrogate_t1,为什么你前后两次说法不一致，请解释桌面上未喝完的咖啡杯,interrogate,synthetic,
INT178,interrogate_t2,你和报案人是什么关系，是否隐瞒了窗台上的纤维碎屑,interrogate,synthetic,
INT179,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是嫌疑人衣袖上的灰尘,interrogate,synthetic,
INT180,interrogate_t4,你是否知道钥匙串的去向，请直接回答,interrogate,synthetic,
INT181,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT182,interrogate_t1,为什么你前后两次说法不一致，请解释手机最后一次通话记录,interrogate,synthetic,
INT183,interrogate_t2,你和目击者是什么关系，是否隐瞒了监控画面中的反光衣角,interrogate,synthetic,
INT184,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是地面残留的泥点,interrogate,synthetic,
INT185,interrogate_t4,你是否知道药盒的去向，请直接回答,interrogate,synthetic,
INT186,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT187,interrogate_t1,为什么你前后两次说法不一致，请解释嫌疑人衣袖上的灰尘,interrogate,synthetic,
INT188,interrogate_t2,你和楼下保安是什么关系，是否隐瞒了门锁边缘的刮痕,interrogate,synthetic,
INT189,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是走廊里的脚印,interrogate,synthetic,
INT190,interrogate_t4,你是否知道通话清单的去向，请直接回答,interrogate,synthetic,
INT191,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT192,interrogate_t1,为什么你前后两次说法不一致，请解释地面残留的泥点,interrogate,synthetic,
INT193,interrogate_t2,你和出租车司机是什么关系，是否隐瞒了桌面上未喝完的咖啡杯,interrogate,synthetic,
INT194,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是窗台上的纤维碎屑,interrogate,synthetic,
INT195,interrogate_t4,你是否知道手机的去向，请直接回答,interrogate,synthetic,
INT196,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT197,interrogate_t1,为什么你前后两次说法不一致，请解释走廊里的脚印,interrogate,synthetic,
INT198,interrogate_t2,你和嫌疑人是什么关系，是否隐瞒了手机最后一次通话记录,interrogate,synthetic,
INT199,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是监控画面中的反光衣角,interrogate,synthetic,
INT200,interrogate_t4,你是否知道纸质笔录的去向，请直接回答,interrogate,synthetic,
INT201,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT202,interrogate_t1,为什么你前后两次说法不一致，请解释窗台上的纤维碎屑,interrogate,synthetic,
INT203,interrogate_t2,你和失踪者的同事是什么关系，是否隐瞒了嫌疑人衣袖上的灰尘,interrogate,synthetic,
INT204,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是门锁边缘的刮痕,interrogate,synthetic,
INT205,interrogate_t4,你是否知道车牌记录的去向，请直接回答,interrogate,synthetic,
INT206,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT207,interrogate_t1,为什么你前后两次说法不一致，请解释监控画面中的反光衣角,interrogate,synthetic,
INT208,interrogate_t2,你和受害者家属是什么关系，是否隐瞒了地面残留的泥点,interrogate,synthetic,
INT209,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是桌面上未喝完的咖啡杯,interrogate,synthetic,
INT210,interrogate_t4,你是否知道手提袋的去向，请直接回答,interrogate,synthetic,
INT211,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT212,interrogate_t1,为什么你前后两次说法不一致，请解释门锁边缘的刮痕,interrogate,synthetic,
INT213,interrogate_t2,你和便利店店员是什么关系，是否隐瞒了走廊里的脚印,interrogate,synthetic,
INT214,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是手机最后一次通话记录,interrogate,synthetic,
INT215,interrogate_t4,你是否知道行车记录仪的去向，请直接回答,interrogate,synthetic,
INT216,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT217,interrogate_t1,为什么你前后两次说法不一致，请解释桌面上未喝完的咖啡杯,interrogate,synthetic,
INT218,interrogate_t2,你和报案人是什么关系，是否隐瞒了窗台上的纤维碎屑,interrogate,synthetic,
INT219,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是嫌疑人衣袖上的灰尘,interrogate,synthetic,
INT220,interrogate_t4,你是否知道钥匙串的去向，请直接回答,interrogate,synthetic,
INT221,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT222,interrogate_t1,为什么你前后两次说法不一致，请解释手机最后一次通话记录,interrogate,synthetic,
INT223,interrogate_t2,你和目击者是什么关系，是否隐瞒了监控画面中的反光衣角,interrogate,synthetic,
INT224,interrogate_t3,请回忆接到电话之后前后发生了什么，尤其是地面残留的泥点,interrogate,synthetic,
INT225,interrogate_t4,你是否知道药盒的去向，请直接回答,interrogate,synthetic,
INT226,interrogate_t0,请详细说明你昨晚昨晚20:00到23:30在哪里，和谁接触过,interrogate,synthetic,
INT227,interrogate_t1,为什么你前后两次说法不一致，请解释嫌疑人衣袖上的灰尘,interrogate,synthetic,
INT228,interrogate_t2,你和楼下保安是什么关系，是否隐瞒了门锁边缘的刮痕,interrogate,synthetic,
